species name,Sex,Overall appearance: &lt;Colouring&gt;,Length of prosoma [mm],Length of prosoma by range [mm],Length of femur I : &lt;relative to prosoma&gt;,Prosoma: &lt;appearance&gt;,Fovea clearly visible as darkened groove,Opisthosoma: &lt;appearance&gt;,Dorsal spines on femur I: &lt;count&gt;,Posterior eye row: &lt;form&gt;,Posterior median eye (PME) separation: &lt;relative to diameter (d)&gt;,Headregion of male: &lt;appearance&gt;,Eyes: &lt;appearance&gt;,Anterior median eyes: &lt;size relative to anterior lateral eyes ALE&gt;,Prolateral spines on femur I: &lt;count&gt;,Prolateral spines on tibia I: &lt;count&gt;,Anterior cheliceral teeth: &lt;appearance&gt;,Conspicuous structures on chelicerae: &lt;appearance&gt;,Maxillae: &lt;appearance&gt;,Sternum: &lt;appearance&gt;,Sternum: &lt;extends between coxae IV&gt;,Width of sternum between coxae IV: &lt;relative to width of coxae IV (d)&gt;,Position of trichobothrium on metatarsus I (TmI): &lt;relative to metatarsus&gt;,Position of TmI by range: &lt;relative to metatarsus&gt;,Metatarsus IV dorsally: &lt;presence of trichobothrium (TmIV)&gt;,Dorsal spines on metatarsus I: &lt;count&gt;,Tibia IV: &lt;number of dorsal spines&gt;,"Numbers of dorsal spines on tibia I, II, III, IV: &lt;tibial spine formula&gt;",Tibia I-II ventrally: &lt;presence of spines&gt;,Male pedipalp: femur &lt;appearance&gt;,Male pedipalp: patella &lt;appearance&gt;,Male pedipalp: tibia &lt;appearance&gt;,Male pedipalp: cymbium &lt;appearance&gt;,Male pedipalp: paracymbium &lt;form&gt;,Male pedipalp: branches of paracymbium &lt;presence of teeth&gt;,Male pedipalp: embolus &lt;appearance&gt;,Male pedipalp: lamella characteristica &lt;presence&gt;,Distribution,Female palp: claw &lt;presence&gt;,Epigyne: &lt;appearance&gt;,Epigyne: &lt;form&gt;,Epigyne: &lt;seminal receptacles&gt;,Description of any further conspicuous features:
"Palliduphantes spelaeorum W (Kulczynski, 1914)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",0.84,0.8-1.0; 1.0-1.2,longer than prosoma,inconspicuous,yes; no,"unicolorous, inconspicuous",none,straight,distinctly less than d; equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.14,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Bosnia and Herzegovina | Bulgaria | Croatia | Greece | Montenegro | North Macedonia | Serbia | Slovenia |,not present/inconspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Palliduphantes stygius M (Simon, 1884)",Male,"pale, ground or cave dweller (careful with older specimens: fading)",0.78,0.6-0.8,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.18,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with one or more spines,margin with notches/bulges,complex,teeth present,unremarkable,conspicuous,France | Portugal | Spain | Spain / Balearic Islands |,,,,,
"Palliduphantes stygius W (Simon, 1884)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",0.94,0.8-1.0,longer than prosoma,inconspicuous,yes,patterned,none,straight,distinctly less than d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.2,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,France | Portugal | Spain | Spain / Balearic Islands |,not present/inconspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Palliduphantes trnovensis M (Drensky, 1931)",Male,"pale, ground or cave dweller (careful with older specimens: fading)",0.8,0.6-0.8; 0.8-1.0,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with one or more spines,margin with notches/bulges,complex,teeth present,unremarkable,conspicuous,Albania | Bulgaria | Kosovo | Montenegro | North Macedonia | Serbia |,,,,,
"Palliduphantes trnovensis W (Drensky, 1931)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",0.8,0.6-0.8; 0.8-1.0,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Albania | Bulgaria | Kosovo | Montenegro | North Macedonia | Serbia |,not present/inconspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Panamomops affinis M Miller & Kratochvil, 1939",Male,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly less than d,complex; with horns/tufts,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.33,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,Austria | Czechia | Germany | Serbia | Slovakia | Slovenia | Switzerland |,,,,,
"Panamomops affinis W Miller & Kratochvil, 1939",Female,"inconspicuous, generally dark",0.56,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.34,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,Austria | Czechia | Germany | Serbia | Slovakia | Slovenia | Switzerland |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Panamomops fagei M Miller & Kratochvil, 1939",Male,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,with horns/tufts,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.33,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,Czechia | Germany | Hungary | Italy | Slovakia |,,,,,
"Panamomops fagei W Miller & Kratochvil, 1939",Female,"inconspicuous, generally dark",0.58,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.35,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,Czechia | Germany | Hungary | Italy | Slovakia |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Panamomops fedotovi M (Charitonov, 1937)",Male,"inconspicuous, generally dark",0.56,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.39,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with complex apophysis; with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,"Armenia | Georgia | Russia, Southern | Ukraine |",,,,,Prosoma with a &quot;nose&quot;. PLE widely separated from PME
"Panamomops inconspicuus M (Miller & Valesova, 1964)",Male,"inconspicuous, generally dark",0.5,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.39,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,"Austria | Bulgaria | Czechia | Germany | Italy | Luxembourg | Poland | Romania | Russia, Central | Russia, Southern | Slovakia | Switzerland |",,,,,
"Panamomops inconspicuus W (Miller & Valesova, 1964)",Female,"inconspicuous, generally dark",0.5,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.38,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,"Austria | Bulgaria | Czechia | Germany | Italy | Luxembourg | Poland | Romania | Russia, Central | Russia, Southern | Slovakia | Switzerland |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Panamomops latifrons M Miller, 1959",Male,"inconspicuous, generally dark",0.72,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly less than d,with horns/tufts,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.35,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,Austria | Czechia | Slovakia |,,,,,
"Panamomops latifrons W Miller, 1959",Female,"inconspicuous, generally dark",0.67,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.38,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,Austria | Czechia | Slovakia |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Panamomops mengei M Simon, 1926",Male,"inconspicuous, generally dark",0.68,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,complex; with horns/tufts,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.36,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, circular",absent,"Austria | Belarus | Czechia | Denmark | Estonia | Finland | France | Germany | Hungary | Latvia | Moldova | Netherlands | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Ukraine |",,,,,
"Panamomops mengei W Simon, 1926",Female,"inconspicuous, generally dark",0.62,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.33,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,"Austria | Belarus | Czechia | Denmark | Estonia | Finland | France | Germany | Hungary | Latvia | Moldova | Netherlands | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Ukraine |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Panamomops palmgreni M Thaler, 1973",Male,"inconspicuous, generally dark",0.55,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,sulci present,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.37,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,Austria | Germany | Italy | Liechtenstein | Slovakia | Switzerland |,,,,,
"Panamomops palmgreni W Thaler, 1973",Female,"inconspicuous, generally dark",0.48,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.4,0.40-0.49,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,Austria | Germany | Italy | Liechtenstein | Slovakia | Switzerland |,not present/inconspicuous,with septum/medial structure; with lateral plates,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Panamomops sulcifrons M (Wider, 1834)",Male,"inconspicuous, generally dark",0.6,0.4-0.6; 0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,complex; with horns/tufts,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.38,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,"Austria | Belgium | Bulgaria | Czechia | France | Germany | Hungary | Luxembourg | Netherlands | Poland | Romania | Russia, Central | Russia, Southern | Slovakia | Switzerland | United Kingdom |",,,,,
"Panamomops sulcifrons W (Wider, 1834)",Female,"inconspicuous, generally dark",0.56,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.48,0.40-0.49,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,"Austria | Belgium | Bulgaria | Czechia | France | Germany | Hungary | Luxembourg | Netherlands | Poland | Romania | Russia, Central | Russia, Southern | Slovakia | Switzerland | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Panamomops tauricornis M (Simon, 1881)",Male,"inconspicuous, generally dark",0.56,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,complex; with horns/tufts,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.33,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,"Austria | France | Germany | Italy | Liechtenstein | Russia, Eastern | Russia, Northern | Switzerland |",,,,,
"Panamomops tauricornis W (Simon, 1881)",Female,"inconspicuous, generally dark",0.54,0.4-0.6,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,procurved,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.4,0.40-0.49,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,"Austria | France | Germany | Italy | Liechtenstein | Russia, Eastern | Russia, Northern | Switzerland |",not present/inconspicuous,with septum/medial structure; with lateral plates,flat,"underlying structures (e.g., seminal receptacles) visible",
"Parapelecopsis conimbricensis M Bosmans & Crespo, 2010",Male,"inconspicuous, generally dark",0.78,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous; with pits (dorsally),yes,with scutum,none,procurved,distinctly less than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.5,0.40-0.49; 0.50-0.59,trichobothrium absent,none,one dorsal spine,0,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,unremarkable,absent,Portugal |,,,,,
"Parapelecopsis conimbricensis W Bosmans & Crespo, 2010",Female,"inconspicuous, generally dark",0.75,0.6-0.8; 0.8-1.0,shorter than prosoma,with pits (dorsally),yes,"unicolorous, inconspicuous",none,procurved,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.53,0.40-0.49; 0.50-0.59,trichobothrium absent,none,one dorsal spine,,no spines,,,,,,,,,Portugal |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Parapelecopsis nemoralioides M (O. P.-Cambridge, 1884)",Male,"inconspicuous, generally dark",0.75,0.6-0.8,shorter than prosoma,inconspicuous,yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.53,0.50-0.59; 0.60-0.69,trichobothrium absent,none,one dorsal spine,0,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,unremarkable,absent,Belgium | Denmark | France | Germany | Ireland | Italy | Netherlands | United Kingdom |,,,,,
"Parapelecopsis nemoralioides W (O. P.-Cambridge, 1884)",Female,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly less than d; equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.61,0.50-0.59; 0.60-0.69,trichobothrium absent,none,one dorsal spine,0,no spines,,,,,,,,,Belgium | Denmark | France | Germany | Ireland | Italy | Netherlands | United Kingdom |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
"Parapelecopsis nemoralis M (Blackwall, 1841)",Male,"inconspicuous, generally dark",0.62,0.6-0.8,shorter than prosoma,inconspicuous,yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.55,0.50-0.59,trichobothrium absent,none,one dorsal spine,0,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Andorra | Austria | Belgium | Croatia | Czechia | Denmark | France | Georgia | Germany | Ireland | Italy | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Serbia | Slovenia | Spain | Sweden | Switzerland | United Kingdom |",,,,,
"Parapelecopsis nemoralis W (Blackwall, 1841)",Female,"inconspicuous, generally dark",0.63,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.62,0.60-0.69,trichobothrium absent,none,one dorsal spine,0,no spines,,,,,,,,,"Andorra | Austria | Belgium | Croatia | Czechia | Denmark | France | Georgia | Germany | Ireland | Italy | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Serbia | Slovenia | Spain | Sweden | Switzerland | United Kingdom |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
"Pelecopsis alpica M Thaler, 1991",Male,"inconspicuous, generally dark",0.57,0.4-0.6,shorter than prosoma,inconspicuous,yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.71,0.70-0.79,trichobothrium absent,none,one dorsal spine,1111,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",margin with notches/bulges,simple,teeth absent,unremarkable,absent,Austria | Italy | Switzerland |,,,,,
"Pelecopsis alpica W Thaler, 1991",Female,"inconspicuous, generally dark",0.58,0.4-0.6,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.75,0.70-0.79,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,Austria | Italy | Switzerland |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Pelecopsis bicornuta M Hillyard, 1980",Male,"inconspicuous, generally dark",0.96,0.8-1.0; 1.0-1.2,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.54,0.50-0.59,trichobothrium absent,none,one dorsal spine,0011; 1111,no spines,unremarkable,conspicuously swollen,with complex apophysis,with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,Morocco | Portugal | Spain |,,,,,
"Pelecopsis bicornuta W Hillyard, 1980",Female,"inconspicuous, generally dark",0.98,0.8-1.0; 1.0-1.2,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.54,0.50-0.59,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,Morocco | Portugal | Spain |,not present/inconspicuous,unremarkable; with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
"Pelecopsis bucephala M (O. P.-Cambridge, 1875)",Male,"inconspicuous, generally dark",1.2,1.0-1.2; 1.2-1.4,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.48,0.40-0.49,trichobothrium absent,none,one dorsal spine,1111,no spines,unremarkable,conspicuously swollen,with complex apophysis; with one or more spines,with dorsal projections/conical elevations,simple,teeth absent,"conspicuous, curled",absent,Algeria | France | France / Corsica | Italy / Sardinia | Italy / Sicily | Morocco | Portugal | Spain |,,,,,
"Pelecopsis bucephala W (O. P.-Cambridge, 1875)",Female,"inconspicuous, generally dark",1.1,1.0-1.2,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.52,0.50-0.59,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,Algeria | France | France / Corsica | Italy / Sardinia | Italy / Sicily | Morocco | Portugal | Spain |,not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Pelecopsis coccinea M (O. P.-Cambridge, 1875)",Male,"bright, red, orange",0.9,0.8-1.0,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,pitted; smooth,yes,distinctly greater than d,0.55,0.40-0.49; 0.50-0.59,trichobothrium absent,none,one dorsal spine,0000; 1111,no spines,unremarkable,unremarkable,with complex apophysis,margin with notches/bulges,simple,teeth absent,"unremarkable; conspicuous, curled",absent,Morocco | Spain |,,,,,
"Pelecopsis coccinea W (O. P.-Cambridge, 1875)",Female,"inconspicuous, generally dark; bright, red, orange",1,0.8-1.0; 1.0-1.2,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,distinctly greater than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth; pitted,yes,distinctly greater than d,0.52,0.40-0.49; 0.50-0.59,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,Morocco | Spain |,not present/inconspicuous,unremarkable; with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Pelecopsis elongata M (Wider, 1834)",Male,conspicuous contrast legs/prosoma,0.7,0.6-0.8,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.63,0.60-0.69,trichobothrium absent,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with simple apophysis,simple,simple,teeth absent,"conspicuous, curled",absent,"Albania | Austria | Belarus | Belgium | Bulgaria | Croatia | Cyprus | Czechia | Estonia | Finland | France | Germany | Greece | Greece / Crete | Hungary | Italy | Italy / Sardinia | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | North Macedonia | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",,,,,
"Pelecopsis elongata W (Wider, 1834)",Female,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,with pits (dorsally),yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.6,0.60-0.69,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,"Albania | Austria | Belarus | Belgium | Bulgaria | Croatia | Cyprus | Czechia | Estonia | Finland | France | Germany | Greece | Greece / Crete | Hungary | Italy | Italy / Sardinia | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | North Macedonia | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
"Pelecopsis inedita M (O. P.-Cambridge, 1875)",Male,conspicuous contrast legs/prosoma,0.7,0.6-0.8,shorter than prosoma,with pits (dorsally),yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.58,0.50-0.59,trichobothrium absent,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with complex apophysis,simple,simple,teeth absent,unremarkable,absent,Algeria | Egypt | France | France / Corsica | Greece | Greece / Crete | Italy | Italy / Sardinia | Italy / Sicily | Malta | Morocco | Portugal | Spain | Spain / Balearic Islands | Tunisia |,,,,,
"Pelecopsis inedita W (O. P.-Cambridge, 1875)",Female,conspicuous contrast legs/prosoma,0.75,0.6-0.8,shorter than prosoma,with pits (dorsally),yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,pitted,yes,distinctly greater than d,0.6,0.60-0.69,trichobothrium absent,none,one dorsal spine,0,no spines,,,,,,,,,Algeria | Egypt | France | France / Corsica | Greece | Greece / Crete | Italy | Italy / Sardinia | Italy / Sicily | Malta | Morocco | Portugal | Spain | Spain / Balearic Islands | Tunisia |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Pelecopsis laptevi M Tanasevitch & Fet, 1986",Male,"inconspicuous, generally dark",0.68,0.6-0.8,shorter than prosoma,inconspicuous,yes,with scutum,none,procurved,distinctly greater than d,sulci present; complex,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.52,0.50-0.59,trichobothrium absent,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,unremarkable,absent,Bulgaria | North Macedonia | Ukraine |,,,,,Opisthosoma with ventral scutum
"Pelecopsis laptevi W Tanasevitch & Fet, 1986",Female,"inconspicuous, generally dark",0.75,0.6-0.8,shorter than prosoma,inconspicuous; with pits (dorsally),yes,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.57,0.50-0.59,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,Bulgaria | North Macedonia | Ukraine |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
